case_id,version,section,size,mpi_ranks,omp_threads,iters,elapsed_s,fom,energy,status,run_completed,warn_openfabrics,local_host,num_processors_seen,num_threads_seen,report_dir
baseline_omp_np1_t28_s40_i20_bindcore_20260504_065807,baseline,omp,40,1,28,20,2,635.79343,1.038309e+07,PASS,yes,yes,node60,1,28,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b2-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp20-24-28-29-30-20260504_065807
baseline_omp_np1_t29_s40_i20_bindcore_20260504_065807,baseline,omp,40,1,29,20,2.1,617.53575,1.038309e+07,PASS,yes,yes,node60,1,29,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b2-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp20-24-28-29-30-20260504_065807
baseline_omp_np1_t30_s40_i20_bindcore_20260504_065807,baseline,omp,40,1,30,20,2.1,603.77221,1.038309e+07,PASS,yes,yes,node60,1,30,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b2-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp20-24-28-29-30-20260504_065807
baseline_omp_np1_t31_s40_i20_bindcore_20260504_065824,baseline,omp,40,1,31,20,2.2,591.69918,1.038309e+07,PASS,yes,yes,node60,1,31,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b3-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp31-32-36-40-20260504_065824
baseline_omp_np1_t32_s40_i20_bindcore_20260504_065824,baseline,omp,40,1,32,20,2.2,579.74368,1.038309e+07,PASS,yes,yes,node60,1,32,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b3-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp31-32-36-40-20260504_065824
baseline_omp_np1_t36_s40_i20_bindcore_20260504_065824,baseline,omp,40,1,36,20,2.4,527.70207,1.038309e+07,PASS,yes,yes,node60,1,36,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b3-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp31-32-36-40-20260504_065824
baseline_omp_np1_t40_s40_i20_bindcore_20260504_065824,baseline,omp,40,1,40,20,2.6,491.17079,1.038309e+07,PASS,yes,yes,node60,1,40,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b3-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp31-32-36-40-20260504_065824
baseline_omp_np1_t58_s40_i20_bindcore_20260504_065842,baseline,omp,40,1,58,20,3.4,371.97198,1.038309e+07,PASS,yes,yes,node60,1,58,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b4-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp58-59-60-61-62-20260504_065842
baseline_omp_np1_t59_s40_i20_bindcore_20260504_065842,baseline,omp,40,1,59,20,3.5,369.44835,1.038309e+07,PASS,yes,yes,node60,1,59,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b4-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp58-59-60-61-62-20260504_065842
baseline_omp_np1_t60_s40_i20_bindcore_20260504_065842,baseline,omp,40,1,60,20,3.5,363.22172,1.038309e+07,PASS,yes,yes,node60,1,60,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b4-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp58-59-60-61-62-20260504_065842
baseline_omp_np1_t61_s40_i20_bindcore_20260504_065842,baseline,omp,40,1,61,20,3.6,354.83756,1.038309e+07,PASS,yes,yes,node60,1,61,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b4-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp58-59-60-61-62-20260504_065842
baseline_omp_np1_t62_s40_i20_bindcore_20260504_065842,baseline,omp,40,1,62,20,3.6,353.02754,1.038309e+07,PASS,yes,yes,node60,1,62,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b4-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp58-59-60-61-62-20260504_065842
baseline_omp_np1_t64_s40_i20_bindcore_20260504_065922,baseline,omp,40,1,64,20,3.7,345.88456,1.038309e+07,PASS,yes,yes,node60,1,64,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s40-b5-baseline-cluster-bindcore-secomp-verbaseline-s40-i20-omp64-20260504_065922
baseline_omp_np1_t1_s80_i20_bindcore_20260504_070059,baseline,omp,80,1,1,20,5.4,1888.0265,8.306471e+07,PASS,yes,yes,node60,1,1,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b1-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp1-2-4-8-15-20260504_070059
baseline_omp_np1_t2_s80_i20_bindcore_20260504_070059,baseline,omp,80,1,2,20,6.3,1615.3493,8.306471e+07,PASS,yes,yes,node60,1,2,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b1-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp1-2-4-8-15-20260504_070059
baseline_omp_np1_t4_s80_i20_bindcore_20260504_070059,baseline,omp,80,1,4,20,6.6,1546.4388,8.306471e+07,PASS,yes,yes,node60,1,4,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b1-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp1-2-4-8-15-20260504_070059
baseline_omp_np1_t8_s80_i20_bindcore_20260504_070059,baseline,omp,80,1,8,20,6.6,1541.0032,8.306471e+07,PASS,yes,yes,node60,1,8,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b1-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp1-2-4-8-15-20260504_070059
baseline_omp_np1_t15_s80_i20_bindcore_20260504_070059,baseline,omp,80,1,15,20,7.1,1445.4707,8.306471e+07,PASS,yes,yes,node60,1,15,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b1-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp1-2-4-8-15-20260504_070059
baseline_omp_np1_t20_s80_i20_bindcore_20260504_070131,baseline,omp,80,1,20,20,6.8,1497.7532,8.306471e+07,PASS,yes,yes,node60,1,20,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b2-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp20-24-28-29-30-20260504_070131
baseline_omp_np1_t24_s80_i20_bindcore_20260504_070131,baseline,omp,80,1,24,20,7.3,1394.4018,8.306471e+07,PASS,yes,yes,node60,1,24,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b2-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp20-24-28-29-30-20260504_070131
baseline_omp_np1_t28_s80_i20_bindcore_20260504_070131,baseline,omp,80,1,28,20,7.2,1422.6829,8.306471e+07,PASS,yes,yes,node60,1,28,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b2-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp20-24-28-29-30-20260504_070131
baseline_omp_np1_t29_s80_i20_bindcore_20260504_070131,baseline,omp,80,1,29,20,7.6,1348.5603,8.306471e+07,PASS,yes,yes,node60,1,29,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b2-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp20-24-28-29-30-20260504_070131
baseline_omp_np1_t30_s80_i20_bindcore_20260504_070131,baseline,omp,80,1,30,20,7.5,1362.9816,8.306471e+07,PASS,yes,yes,node60,1,30,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b2-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp20-24-28-29-30-20260504_070131
baseline_omp_np1_t31_s80_i20_bindcore_20260504_070313,baseline,omp,80,1,31,20,7.6,1353.1108,8.306471e+07,PASS,yes,yes,node60,1,31,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b3-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp31-32-36-40-20260504_070313
baseline_omp_np1_t32_s80_i20_bindcore_20260504_070313,baseline,omp,80,1,32,20,7.4,1375.9162,8.306471e+07,PASS,yes,yes,node60,1,32,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b3-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp31-32-36-40-20260504_070313
baseline_omp_np1_t36_s80_i20_bindcore_20260504_070313,baseline,omp,80,1,36,20,8.1,1267.2627,8.306471e+07,PASS,yes,yes,node60,1,36,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b3-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp31-32-36-40-20260504_070313
baseline_omp_np1_t40_s80_i20_bindcore_20260504_070313,baseline,omp,80,1,40,20,7.9,1297.5182,8.306471e+07,PASS,yes,yes,node60,1,40,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b3-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp31-32-36-40-20260504_070313
baseline_omp_np1_t58_s80_i20_bindcore_20260504_070341,baseline,omp,80,1,58,20,9.5,1081.6769,8.306471e+07,PASS,yes,yes,node60,1,58,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b4-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp58-59-60-61-62-20260504_070341
baseline_omp_np1_t59_s80_i20_bindcore_20260504_070341,baseline,omp,80,1,59,20,9.5,1073.9374,8.306471e+07,PASS,yes,yes,node60,1,59,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b4-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp58-59-60-61-62-20260504_070341
baseline_omp_np1_t60_s80_i20_bindcore_20260504_070341,baseline,omp,80,1,60,20,9.7,1056.7368,8.306471e+07,PASS,yes,yes,node60,1,60,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b4-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp58-59-60-61-62-20260504_070341
baseline_omp_np1_t61_s80_i20_bindcore_20260504_070341,baseline,omp,80,1,61,20,9.7,1058.3768,8.306471e+07,PASS,yes,yes,node60,1,61,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b4-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp58-59-60-61-62-20260504_070341
baseline_omp_np1_t62_s80_i20_bindcore_20260504_070341,baseline,omp,80,1,62,20,9.9,1038.8906,8.306471e+07,PASS,yes,yes,node60,1,62,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b4-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp58-59-60-61-62-20260504_070341
baseline_omp_np1_t64_s80_i20_bindcore_20260504_070508,baseline,omp,80,1,64,20,10,1026.1913,8.306471e+07,PASS,yes,yes,node60,1,64,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s80-b5-baseline-cluster-bindcore-secomp-verbaseline-s80-i20-omp64-20260504_070508
kc_omp_np1_t1_s20_i20_bindcore_20260504_065634,kc,omp,20,1,1,20,0.18,906.72107,1.297886e+06,PASS,yes,yes,node60,1,1,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-kc-cluster-bindcore-secomp-verkc-s20-i20-omp1-2-4-8-15-20260504_065634
kc_omp_np1_t2_s20_i20_bindcore_20260504_065634,kc,omp,20,1,2,20,0.19,855.74768,1.297886e+06,PASS,yes,yes,node60,1,2,/home/fzj/桌面/ppn/PPN-KLULES/cluster/stage2-omp/stage2-omp-s20-b1-kc-cluster-bindcore-secomp-verkc-s20-i20-omp1-2-4-8-15-20260504_065634
