Version,Size,Threads,Run,FOM,Time
OpenMP,90,16,7,5774.6429,13.0
OpenMP,90,16,8,5668.8239,13.0
OpenMP,90,16,9,5676.9185,13.0
OpenMP,90,16,10,5764.2251,13.0
OpenMP,90,32,1,5102.9745,14.0
OpenMP,90,32,2,5158.1431,14.0
OpenMP,90,32,3,5172.9219,14.0
OpenMP,90,32,4,5265.517,14.0
OpenMP,90,32,5,5268.0287,14.0
OpenMP,90,32,6,5192.9084,14.0
OpenMP,90,32,7,5206.918,14.0
OpenMP,90,32,8,5203.4669,14.0
OpenMP,90,32,9,5160.7835,14.0
OpenMP,90,32,10,5268.7462,14.0
Kokkos-OpenMP,30,1,1,2528.1514,1.07
Kokkos-OpenMP,30,1,2,2538.2524,1.06
Kokkos-OpenMP,30,1,3,2549.4162,1.06
Kokkos-OpenMP,30,1,4,2558.8197,1.06
Kokkos-OpenMP,30,1,5,2565.6473,1.05
Kokkos-OpenMP,30,1,6,2549.4595,1.06
Kokkos-OpenMP,30,1,7,2555.1656,1.06
Kokkos-OpenMP,30,1,8,2556.0654,1.06
Kokkos-OpenMP,30,1,9,2565.5571,1.05
Kokkos-OpenMP,30,1,10,2547.7563,1.06
Kokkos-OpenMP,30,2,1,3671.3914,0.74
Kokkos-OpenMP,30,2,2,3694.4852,0.73
Kokkos-OpenMP,30,2,3,3677.3519,0.73
Kokkos-OpenMP,30,2,4,3613.3405,0.75
Kokkos-OpenMP,30,2,5,3675.2645,0.73
Kokkos-OpenMP,30,2,6,3630.0813,0.74
Kokkos-OpenMP,30,2,7,3668.2739,0.74
Kokkos-OpenMP,30,2,8,3682.9298,0.73
Kokkos-OpenMP,30,2,9,3715.4157,0.73
Kokkos-OpenMP,30,2,10,3725.9778,0.72
Kokkos-OpenMP,30,4,1,5692.5996,0.47
Kokkos-OpenMP,30,4,2,6626.7914,0.41
Kokkos-OpenMP,30,4,3,6669.7628,0.4
Kokkos-OpenMP,30,4,4,6432.247,0.42
Kokkos-OpenMP,30,4,5,6742.6337,0.4
Kokkos-OpenMP,30,4,6,6575.5506,0.41
Kokkos-OpenMP,30,4,7,6814.654,0.4
Kokkos-OpenMP,30,4,8,6680.4564,0.4
Kokkos-OpenMP,30,4,9,6770.0054,0.4
Kokkos-OpenMP,30,4,10,6724.7988,0.4
Kokkos-OpenMP,30,8,1,10723.648,0.25
Kokkos-OpenMP,30,8,2,10768.47,0.25
Kokkos-OpenMP,30,8,3,10727.781,0.25
Kokkos-OpenMP,30,8,4,10365.002,0.26
Kokkos-OpenMP,30,8,5,10539.629,0.26
Kokkos-OpenMP,30,8,6,10808.647,0.25
Kokkos-OpenMP,30,8,7,10852.832,0.25
Kokkos-OpenMP,30,8,8,10864.404,0.25
Kokkos-OpenMP,30,8,9,10807.522,0.25
Kokkos-OpenMP,30,8,10,11001.414,0.25
Kokkos-OpenMP,30,16,1,10884.288,0.25
Kokkos-OpenMP,30,16,2,10690.444,0.25
Kokkos-OpenMP,30,16,3,10999.98,0.25
Kokkos-OpenMP,30,16,4,11013.261,0.25
Kokkos-OpenMP,30,16,5,10933.742,0.25
Kokkos-OpenMP,30,16,6,11153.983,0.24
Kokkos-OpenMP,30,16,7,11071.881,0.24
Kokkos-OpenMP,30,16,8,10900.283,0.25
